accession;code;region;recolection_date
011021-01;011021-01;Temperate;01/10/2021
110821-01;110821-01;Mediterranean;11/08/2021
110821-01;110821-01b;Mediterranean;11/08/2021
110821-02;110821-02;Mediterranean;11/08/2021
110821-03;110821-03;Mediterranean;11/08/2021
110821-03;110821-03b;Mediterranean;11/08/2021
110821-05;110821-05;Mediterranean;11/08/2021
110821-05;110821-05b;Mediterranean;11/08/2021
110821-06;110821-06;Mediterranean;11/08/2021
110821-06;110821-06b;Mediterranean;11/08/2021
110821-07;110821-07;Mediterranean;11/08/2021
110821-07;110821-07b;Mediterranean;11/08/2021
120821-01;120821-01;Mediterranean;12/08/2021
120821-01;120821-01b;Mediterranean;12/08/2021
120821-02;120821-02;Mediterranean;12/08/2021
120821-02;120821-02b;Mediterranean;12/08/2021
120821-03;120821-03;Mediterranean;11/08/2021
120821-03;120821-03b;Mediterranean;11/08/2021
120821-04;120821-04;Mediterranean;12/08/2021
120821-04;120821-04b;Mediterranean;12/08/2021
120821-05;120821-05;Mediterranean;12/08/2021
120821-06;120821-06;Mediterranean;12/08/2021
120821-06;120821-06b;Mediterranean;12/08/2021
130921-02;130921-02;Temperate;13/09/2021
130921-03;130921-03;Temperate;13/09/2021
130921-03;130921-03b;Temperate;13/09/2021
130921-04;130921-04;Temperate;13/09/2021
130921-05;130921-05;Temperate;13/09/2021
130921-05;130921-05b;Temperate;13/09/2021
130921-06;130921-06;Temperate;13/09/2021
130921-07;130921-07;Temperate;13/09/2021
130921-08;130921-08;Temperate;13/09/2021
130921-09;130921-09;Temperate;13/09/2021
130921-10;130921-10;Temperate;13/09/2021
130921-12;130921-12;Temperate;13/09/2021
130921-12;130921-12b;Temperate;13/09/2021
130921-14;130921-14;Temperate;13/09/2021
130921-15;130921-15;Temperate;13/09/2021
130921-16;130921-16;Temperate;13/09/2021
140921-01;140921-01;Temperate;14/09/2021
140921-02;140921-02;Temperate;14/09/2021
140921-03;140921-03;Temperate;14/09/2021
140921-04;140921-04;Temperate;14/09/2021
140921-04;140921-04b;Temperate;14/09/2021
140921-05;140921-05;Temperate;14/09/2021
140921-06;140921-06;Temperate;14/09/2021
140921-07;140921-07;Temperate;14/09/2021
140921-08;140921-08;Temperate;14/09/2021
140921-09;140921-09;Temperate;14/09/2021
150721-01;150721-01;Mediterranean;15/07/2021
150721-01;150721-01b;Mediterranean;15/07/2021
150721-05;150721-05;Mediterranean;15/07/2021
230921-01;230921-01;Mediterranean;23/09/2021
230921-02;230921-02;Mediterranean;23/09/2021
230921-03;230921-03;Mediterranean;23/09/2021
230921-04;230921-04;Mediterranean;23/09/2021
240821-01;240821-01;Mediterranean;24/08/2021
240821-01;240821-01b;Mediterranean;24/08/2021
240821-02;240821-02;Mediterranean;24/08/2021
240821-02;240821-02b;Mediterranean;24/08/2021
240821-03;240821-03;Mediterranean;24/08/2021
240821-03;240821-03b;Mediterranean;24/08/2021
240821-04;240821-04;Mediterranean;24/08/2021
240821-04;240821-04b;Mediterranean;24/08/2021
240821-05;240821-05b;Mediterranean;24/08/2021
240821-06;240821-06;Mediterranean;24/08/2021
240821-07;240821-07;Mediterranean;24/08/2021
240821-07;240821-07b;Mediterranean;24/08/2021
240821-08;240821-08;Mediterranean;24/08/2021
240821-08;240821-08b;Mediterranean;24/08/2021
240821-09;240821-09;Mediterranean;24/08/2021
240821-09;240821-09b;Mediterranean;24/08/2021
240821-10;240821-10;Mediterranean;24/08/2021
240821-11;240821-11;Mediterranean;24/08/2021
240821-11;240821-11b;Mediterranean;24/08/2021
250821-01;250821-01;Mediterranean;25/08/2021
250821-01;250821-01b;Mediterranean;25/08/2021
250821-02;250821-02;Mediterranean;25/08/2021
250821-02;250821-02b;Mediterranean;25/08/2021
250821-03;250821-03;Mediterranean;25/08/2021
250821-03;250821-03b;Mediterranean;25/08/2021
250821-04;250821-04;Mediterranean;25/08/2021
250821-05;250821-05b;Mediterranean;25/08/2021
250821-06;250821-06;Mediterranean;25/08/2021
250821-07;250821-07;Mediterranean;25/08/2021
250821-08;250821-08;Mediterranean;25/08/2021
250821-09;250821-09;Mediterranean;25/08/2021
250821-12;250821-12;Mediterranean;25/08/2021
250821-12;250821-12b;Mediterranean;25/08/2021
250821-13;250821-13;Mediterranean;25/08/2021
250821-13;250821-13b;Mediterranean;25/08/2021
280721-01;280721-01;Mediterranean;28/07/2021
280721-02;280721-02;Mediterranean;28/07/2021
280721-02;280721-02b;Mediterranean;28/07/2021
300821-01;300821-01;Temperate;30/08/2021
300821-02;300821-02;Temperate;30/08/2021
300821-02;300821-02b;Temperate;30/08/2021
300821-03;300821-03;Temperate;30/08/2021
300821-04;300821-04;Temperate;30/08/2021
300821-04;300821-04b;Temperate;30/08/2021
300821-05;300821-05;Temperate;30/08/2021
300821-06;300821-06;Temperate;30/08/2021
300821-07;300821-07;Temperate;30/08/2021
300821-07;300821-07b;Temperate;30/08/2021
300821-08;300821-08;Temperate;30/08/2021
300821-09;300821-09;Temperate;30/08/2021
300821-10;300821-10;Temperate;30/08/2021
300821-11;300821-11;Temperate;30/08/2021
300821-14;300821-14;Temperate;30/08/2021
300821-15;300821-15;Temperate;30/08/2021
300921-01;300921-01;Temperate;30/09/2021
300921-02;300921-02;Temperate;30/09/2021
300921-03;300921-03;Temperate;30/09/2021
310821-01;310821-01;Temperate;31/08/2021
310821-01;310821-01b;Temperate;31/08/2021
310821-02;310821-02;Temperate;31/08/2021
310821-03;310821-03;Temperate;31/08/2021
310821-03;310821-03b;Temperate;31/08/2021
310821-04;310821-04;Temperate;31/08/2021
310821-05;310821-05;Temperate;31/08/2021
310821-06;310821-06;Temperate;31/08/2021
310821-07;310821-07;Temperate;31/08/2021
310821-08;310821-08;Temperate;31/08/2021
310821-09;310821-09;Temperate;31/08/2021
310821-09;310821-09b;Temperate;31/08/2021
310821-10;310821-10;Temperate;31/08/2021
310821-11;310821-11;Temperate;31/08/2021
310821-12;310821-12;Temperate;31/08/2021
310821-12;310821-12b;Temperate;31/08/2021
310821-13;310821-13;Temperate;31/08/2021
310821-14;310821-14;Temperate;31/08/2021
310821-15;310821-15;Temperate;31/08/2021
310821-16;310821-16;Temperate;31/08/2021
