species;family;macroclimate;habitat;germ_strategy
Agrostis tileni;Poaceae;Mediterranean;Specialist;Late_season
Androsace villosa;Primulaceae;Temperate;Specialist;Sporadic_low
Anthyllis vulneraria;Fabaceae;Temperate;Not_specialist;Biphasic
Arenaria erinacea;Caryophyllaceae;Temperate;Specialist;Autumn
Arenaria moehringioides;Caryophyllaceae;Temperate;Specialist;Early_season
Armeria cantabrica;Plumbaginaceae;Temperate;Specialist;Late_season
Armeria duriaei;Plumbaginaceae;Mediterranean;Specialist;Autumn
Carex sempervirens;Cyperaceae;Temperate;Specialist;Late_season
Cerastium sp;Caryophyllaceae;Mediterranean;Not_specialist;Autumn
Conopodium majus;Apiaceae;Mediterranean;Not_specialist;Early_season
Dethawia splendens;Apiaceae;Temperate;Specialist;Early_season
Dianthus langeanus;Caryophyllaceae;Mediterranean;Not_specialist;Autumn
Erigeron alpinus;Asteraceae;Temperate;Specialist;Late_season
Euphrasia salisburgensis;Orobanchaceae;Temperate;Specialist;Sporadic_low
Festuca hystrix;Poaceae;Temperate;Not_specialist;Biphasic
Festuca rubra;Poaceae;Temperate;Not_specialist;Late_season
Festuca summilusitana;Poaceae;Mediterranean;Specialist;Autumn
Gentiana verna;Gentianaceae;Temperate;Specialist;Early_season
Gentianella campestris;Gentianaceae;Temperate;Not_specialist;Sporadic_low
Gypsophila repens;Caryophyllaceae;Temperate;Not_specialist;Early_season
Helianthemum canum;Cistaceae;Temperate;Not_specialist;Biphasic
Helianthemum urrielense;Cistaceae;Temperate;Not_specialist;Autumn
Helictochloa marginata;Poaceae;Mediterranean;Not_specialist;Biphasic
Helictotrichon sedenense;Poaceae;Temperate;Specialist;Early_season
Iberis carnosa;Brassicaceae;Temperate;Not_specialist;Biphasic
Jasione cavanillesii;Campanulaceae;Temperate;Specialist;Late_season
Jurinea humilis;Asteraceae;Temperate;Not_specialist;Biphasic
Jurinea humilis;Asteraceae;Mediterranean;Not_specialist;Biphasic
Kobresia myosuroides;Cyperaceae;Temperate;Specialist;Sporadic_low
Koeleria vallesiana;Poaceae;Temperate;Specialist;Biphasic
Luzula caespitosa;Juncaceae;Mediterranean;Specialist;Biphasic
Minuartia recurva;Caryophyllaceae;Mediterranean;Specialist;Biphasic
Minuartia verna;Caryophyllaceae;Temperate;Specialist;Biphasic
Minuartia CF;Caryophyllaceae;Temperate;Specialist;Biphasic
Neochischkinia truncatula;Poaceae;Mediterranean;Not_specialist;Autumn
Pedicularis pyrenaica;Orobanchaceae;Temperate;Specialist;Early_season
Phalacrocarpum oppositifolium;Asteraceae;Mediterranean;Not_specialist;Biphasic
Phyteuma hemisphaericum;Campanulaceae;Mediterranean;Specialist;Early_season
Phyteuma orbiculare;Campanulaceae;Temperate;Not_specialist;Late_season
Plantago alpina;Plantaginaceae;Temperate;Specialist;Biphasic
Plantago holosteum;Plantaginaceae;Mediterranean;Not_specialist;Autumn
Ranunculus carianthiacus;Ranunculaceae;Temperate;Specialist;Sporadic_low
Salix fontqueri;Salicaceae;Temperate;Specialist;Sporadic_low
Saxifraga conifera;Saxifragaceae;Temperate;Specialist;Biphasic
Saxifraga paniculata;Saxifragaceae;Temperate;Not_specialist;Late_season
Scilla verna;Asparagaceae;Temperate;Not_specialist;Late_season
Sedum anglicum;Crassulaceae;Mediterranean;Specialist;Biphasic
Sedum brevifolium;Crassulaceae;Mediterranean;Not_specialist;Biphasic
Sedum album cf;Crassulaceae;Temperate;Not_specialist;Sporadic_low
Sempervivum arachnoideo;Crassulaceae;Mediterranean;Not_specialist;Late_season
Sesleria caerula;Poaceae;Temperate;Not_specialist;Biphasic
Silene acaulis;Caryophyllaceae;Temperate;Specialist;Late_season
Silene ciliata;Caryophyllaceae;Temperate;Specialist;Early_season
Silene ciliata;Caryophyllaceae;Mediterranean;Specialist;Early_season
Solidago virgaurea;Asteraceae;Mediterranean;Not_specialist;Biphasic
Spergula morisonii;Caryophyllaceae;Mediterranean;Not_specialist;Autumn
Thymus praecox;Lamiaceae;Temperate;Not_specialist;Biphasic
Thymus praecox;Lamiaceae;Mediterranean;Not_specialist;Biphasic
