community;species;family;incubator;abundance;total_germ;autumn_germ;winter_germ;spring_germ;summer_germ;t50;EHS;delay;area_curves
Mediterranean;Agrostis tileni;Poaceae;Fellfield;0.43;100;0;0;100;0;225.4583333;574.3333333;76.20833333;69.81458
Mediterranean;Agrostis tileni;Poaceae;Snowbed;0.43;100;0;0;80;20;301.6666667;817.5;76.20833333;69.81458
Mediterranean;Armeria duriaei;Plumbaginaceae;Fellfield;0.88;100;99.39;0;0;0.61;7.294841724;94.875;7.91177978;25.44096
Mediterranean;Armeria duriaei;Plumbaginaceae;Snowbed;0.88;98.835;93.615;1.19;0;4.03;15.2066215;130.9375;7.91177978;25.44096
Mediterranean;Cerastium ramosissimum;Caryophyllaceae;Fellfield;0.04;52.57;52;0;0;0.57;48.83081232;800.25;-0.787693638;-8.026992
Mediterranean;Cerastium ramosissimum;Caryophyllaceae;Snowbed;0.04;53.81;53.81;0;0;0;48.04311869;755.625;-0.787693638;-8.026992
Mediterranean;Conopodium majus;Apiaceae;Fellfield;0.33;98.215;0;0;98.215;0;207.6041667;534.6875;31.40446429;29.18449
Mediterranean;Conopodium majus;Apiaceae;Snowbed;0.33;99.22;0;98.275;0.945;0;239.008631;354.25;31.40446429;29.18449
Mediterranean;Dianthus langeanus;Caryophyllaceae;Fellfield;3.79;100;99.495;0;0.505;0;3.711213325;56;1.674798579;6.122285
Mediterranean;Dianthus langeanus;Caryophyllaceae;Snowbed;3.79;100;97.425;2.575;0;0;5.386011905;70.25;1.674798579;6.122285
Mediterranean;Festuca summilusitana;Poaceae;Fellfield;20.26;100;100;0;0;0;18.40241703;219.5625;4.731783331;17.04612
Mediterranean;Festuca summilusitana;Poaceae;Snowbed;20.26;100;94.99;1.885;1.04;2.085;23.13420036;182.25;4.731783331;17.04612
Mediterranean;Helictochloa marginata;Poaceae;Fellfield;0.41;100;25;0;75;0;142.75;582.25;22.92708333;34.58818
Mediterranean;Helictochloa marginata;Poaceae;Snowbed;0.41;100;20;20;0;60;165.6770833;432.5;22.92708333;34.58818
Mediterranean;Jurinea humilis;Asteraceae;Fellfield;0.41;100;81.945;0;18.055;0;9.710416667;141.25;236.7895833;191.2164
Mediterranean;Jurinea humilis;Asteraceae;Snowbed;0.41;100;0;100;0;0;246.5;445.5;236.7895833;191.2164
Mediterranean;Luzula caespitosa;Juncaceae;Fellfield;15.35;90.425;54.235;3.125;26.715;6.35;102.3516865;514.5625;143.1974206;107.0115
Mediterranean;Luzula caespitosa;Juncaceae;Snowbed;15.35;96;0;94.935;0;1.065;245.5491071;432.5;143.1974206;107.0115
Mediterranean;Minuartia recurva;Caryophyllaceae;Fellfield;0.37;100;99.485;0;0.515;0;6.021029135;87.5;8.028150851;54.19677
Mediterranean;Minuartia recurva;Caryophyllaceae;Snowbed;0.37;100;79.945;2.165;17.89;0;14.04917999;159.75;8.028150851;54.19677
Mediterranean;Neoschischkinia truncatula;Poaceae;Fellfield;0.58;94.32;93.735;0;0;0.59;6.807280568;83.4375;1.983769391;17.60386
Mediterranean;Neoschischkinia truncatula;Poaceae;Snowbed;0.58;90.13;89.53;0;0;0.6;8.791049959;75.8125;1.983769391;17.60386
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;Fellfield;0.71;92.13;82.815;7.145;2.175;0;40.27595486;451.6875;41.82859313;2.73503
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;Snowbed;0.71;100;77.435;22.565;0;0;82.10454799;278.5625;41.82859313;2.73503
Mediterranean;Phyteuma hemisphaericum;Campanulaceae;Fellfield;0.21;31.57;0.65;0;29.065;1.855;NA;NA;NA;10.14752
Mediterranean;Phyteuma hemisphaericum;Campanulaceae;Snowbed;0.21;34.43;0.675;3.94;20.81;9;284.5;547;NA;10.14752
Mediterranean;Plantago holosteum;Plantaginaceae;Fellfield;0.36;99.5;96.5;0;3;0;8.079668972;100.0625;0.318120059;8.871351
Mediterranean;Plantago holosteum;Plantaginaceae;Snowbed;0.36;99;93.5;0.5;3.5;1.5;8.397789032;71.4375;0.318120059;8.871351
Mediterranean;Sedum anglicum;Crassulaceae;Fellfield;0.08;74.74;56.975;4.605;7.635;5.525;83.72239583;293.2916667;82.44774306;62.85937
Mediterranean;Sedum anglicum;Crassulaceae;Snowbed;0.08;54.665;43.675;0;4.93;6.065;166.1701389;515.1875;82.44774306;62.85937
Mediterranean;Sedum brevifolium;Crassulaceae;Fellfield;1.8;51.105;41.87;0;8.675;0.56;75.04807692;352.625;9.84478022;28.35367
Mediterranean;Sedum brevifolium;Crassulaceae;Snowbed;1.8;46.865;34.37;0;1.65;10.845;84.89285714;240.625;9.84478022;28.35367
Mediterranean;Sempervivum arachnoideum;Crassulaceae;Fellfield;0.27;96.06;0;0;95.48;0.58;212.7519765;359.25;47.03684926;55.33441
Mediterranean;Sempervivum arachnoideum;Crassulaceae;Snowbed;0.27;80.91;0;0;11.625;69.285;259.7888258;351;47.03684926;55.33441
Mediterranean;Silene ciliata;Caryophyllaceae;Fellfield;0.47;90.06;1.075;0;86.89;2.095;198.8791667;268.375;41.88899101;30.54915
Mediterranean;Silene ciliata;Caryophyllaceae;Snowbed;0.47;95.105;0.505;9.145;79.92;5.54;240.7681577;184.375;41.88899101;30.54915
Mediterranean;Solidago virgaurea;Asteraceae;Fellfield;0.02;100;84.535;0;15.465;0;14.90378788;174.375;220.3694991;164.5787
Mediterranean;Solidago virgaurea;Asteraceae;Snowbed;0.02;100;12.43;78.61;8.96;0;235.273287;305.5625;220.3694991;164.5787
Mediterranean;Spergula morisonii;Caryophyllaceae;Fellfield;0.02;63.64;56.92;0;1.335;5.39;167.8264881;1604.9375;-131.6736189;-62.09302
Mediterranean;Spergula morisonii;Caryophyllaceae;Snowbed;0.02;73.32;73.32;0;0;0;36.15286915;559.0833333;-131.6736189;-62.09302
Mediterranean;Thymus praecox;Lamiaceae;Fellfield;0.81;98.675;90.215;0;6.925;1.54;13.82658921;190.625;69.5443054;65.79285
Mediterranean;Thymus praecox;Lamiaceae;Snowbed;0.81;100;66.9;2.085;10.25;20.755;83.37089461;265.875;69.5443054;65.79285
Temperate;Androsace villosa;Primulaceae;Fellfield;0.85;0;0;0;0;0;NA;NA;NA;-0.6323417
Temperate;Androsace villosa;Primulaceae;Snowbed;0.85;1.15;0;0;0;1.15;NA;NA;NA;-0.6323417
Temperate;Anthyllis vulneraria;Fabaceae;Fellfield;2.71;8.01;5.93;0;0;2.085;NA;NA;NA;12.15582
Temperate;Anthyllis vulneraria;Fabaceae;Snowbed;2.71;2.855;2.855;0;0;0;NA;NA;NA;12.15582
Temperate;Arenaria erinacea;Caryophyllaceae;Fellfield;0.16;22.68;22.68;0;0;0;NA;NA;NA;69.10274
Temperate;Arenaria erinacea;Caryophyllaceae;Snowbed;0.16;3.09;2.06;0;0;1.03;NA;NA;NA;69.10274
Temperate;Arenaria moehringioides;Caryophyllaceae;Fellfield;0.04;46.15;3.85;0;38.46;3.85;272;1082.5;22;30.7779
Temperate;Arenaria moehringioides;Caryophyllaceae;Snowbed;0.04;36.36;0;18.18;0;18.18;294;792;22;30.7779
Temperate;Armeria cantabrica;Plumbaginaceae;Fellfield;1.37;96.48;0.705;0;65.67;30.105;238.2020833;654.1875;39.80138889;30.84555
Temperate;Armeria cantabrica;Plumbaginaceae;Snowbed;1.37;97.435;0;7.69;0.64;89.105;278.0034722;596.75;39.80138889;30.84555
Temperate;Carex sempervirens;Cyperaceae;Fellfield;5.44;99.24;0;0;96.615;2.625;244.85625;694;38.04310207;38.15311
Temperate;Carex sempervirens;Cyperaceae;Snowbed;5.44;99.315;0;0;0;99.315;282.8993521;548.3125;38.04310207;38.15311
Temperate;Dethawia splendens;Apiaceae;Fellfield;0.18;94.92;0;0;94.92;0;212.93125;457.625;17.50109266;11.8709
Temperate;Dethawia splendens;Apiaceae;Snowbed;0.18;100;0;91.84;6.12;2.04;230.4323427;251.875;17.50109266;11.8709
Temperate;Erigeron alpinus;Asteraceae;Fellfield;0.04;100;0;0;100;0;219.75;463.875;41.89264706;43.79633
Temperate;Erigeron alpinus;Asteraceae;Snowbed;0.04;100;0;3.03;83.84;13.13;261.6426471;325.125;41.89264706;43.79633
Temperate;Euphrasia salisburgensis;Orobanchaceae;Fellfield;0.04;1.54;0;0;0.5;1.04;NA;NA;NA;0.07757839
Temperate;Euphrasia salisburgensis;Orobanchaceae;Snowbed;0.04;0.5;0;0.5;0;0;NA;NA;NA;0.07757839
Temperate;Festuca hystrix;Poaceae;Fellfield;0.43;100;97.06;0;2.94;0;15.09375;144.75;107.7395833;83.15741
Temperate;Festuca hystrix;Poaceae;Snowbed;0.43;86.84;71.055;7.895;0;7.895;122.8333333;178;107.7395833;83.15741
Temperate;Festuca rubra;Poaceae;Fellfield;2.12;100;0;0;100;0;239.5;648;NA;NA
Temperate;Gentiana verna;Gentianaceae;Fellfield;0.1;8.7;0;0;8.7;0;NA;NA;NA;1.208498
Temperate;Gentiana verna;Gentianaceae;Snowbed;0.1;8.73;0;7.26;0.735;0.735;NA;NA;NA;1.208498
Temperate;Gentianella campestris;Gentianaceae;Fellfield;0.01;0;0;0;0;0;NA;NA;NA;0
Temperate;Gentianella campestris;Gentianaceae;Snowbed;0.01;0;0;0;0;0;NA;NA;NA;0
Temperate;Gypsophila repens;Caryophyllaceae;Fellfield;0.32;96.005;17.41;0;70.48;8.115;230.2604167;566;51.55326567;75.3701
Temperate;Gypsophila repens;Caryophyllaceae;Snowbed;0.32;98.42;1.055;2.105;7.895;87.37;281.8136823;523.125;51.55326567;75.3701
Temperate;Helianthemum canum;Cistaceae;Fellfield;2.29;29.09;18.99;0;5.81;4.29;279;1245;NA;29.81976
Temperate;Helianthemum canum;Cistaceae;Snowbed;2.29;21.685;10.23;1.83;4.465;5.155;NA;NA;NA;29.81976
Temperate;Helianthemum urrielense;Cistaceae;Fellfield;2.48;68.75;65.625;0;0;3.125;13.31510417;135.3125;1.440104167;-32.50942
Temperate;Helianthemum urrielense;Cistaceae;Snowbed;2.48;75;75;0;0;0;14.75520833;91;1.440104167;-32.50942
Temperate;Helictotrichon sedenense;Poaceae;Fellfield;1.04;100;7.14;0;92.86;0;229.5625;568.25;2.01875;23.03575
Temperate;Helictotrichon sedenense;Poaceae;Snowbed;1.04;100;0;85;0;15;231.58125;277;2.01875;23.03575
Temperate;Iberis carnosa;Brassicaceae;Fellfield;0.09;91.49;76.6;0;2.13;12.77;9.562956871;97.75;302.1106542;183.4111
Temperate;Iberis carnosa;Brassicaceae;Snowbed;0.09;98.9;16.48;0;0;82.42;311.6736111;1005.875;302.1106542;183.4111
Temperate;Jasione cavanillesii;Campanulaceae;Fellfield;0.04;28.57;0;0;27.145;1.43;226.25;491.5;46.04166667;14.02195
Temperate;Jasione cavanillesii;Campanulaceae;Snowbed;0.04;27.32;0;0;4.84;22.48;272.2916667;474.25;46.04166667;14.02195
Temperate;Jurinea humilis;Asteraceae;Fellfield;0.27;100;42.86;0;57.14;0;119.5833333;376.25;110.9166667;94.14644
Temperate;Jurinea humilis;Asteraceae;Snowbed;0.27;100;0;100;0;0;230.5;268.5;110.9166667;94.14644
Temperate;Kobresia myosuroides;Cyperaceae;Fellfield;0.01;0;0;0;0;0;NA;NA;NA;0
Temperate;Kobresia myosuroides;Cyperaceae;Snowbed;0.01;0;0;0;0;0;NA;NA;NA;0
Temperate;Koeleria vallesiana;Poaceae;Fellfield;1.76;100;100;0;0;0;12.13333333;132;17.89484509;54.54562
Temperate;Koeleria vallesiana;Poaceae;Snowbed;1.76;98.98;82.415;11.19;0;5.37;30.02817842;185.9375;17.89484509;54.54562
Temperate;Minuartia CF;Caryophyllaceae;Fellfield;NA;44.44;25.25;0;14.14;5.05;227;534;NA;97.17049
Temperate;Minuartia CF;Caryophyllaceae;Snowbed;NA;14;0;1;5;8;NA;NA;NA;97.17049
Temperate;Minuartia verna;Caryophyllaceae;Fellfield;0.26;42.55;41.49;0;0;1.06;NA;NA;NA;112.3931
Temperate;Minuartia verna;Caryophyllaceae;Snowbed;0.26;12.63;8.42;0;1.05;3.16;NA;NA;NA;112.3931
Temperate;Pedicularis pyrenaica;Orobanchaceae;Fellfield;0.09;41.125;0;0;41.125;0;203.6666667;378.3333333;45.78333333;21.05373
Temperate;Pedicularis pyrenaica;Orobanchaceae;Snowbed;0.09;32.355;0;29.215;0;3.14;249.45;334;45.78333333;21.05373
Temperate;Phyteuma orbiculare;Campanulaceae;Fellfield;0.19;20;0;0;20;0;NA;NA;NA;-11.42264
Temperate;Phyteuma orbiculare;Campanulaceae;Snowbed;0.19;35.71;0;17.86;10.71;7.14;NA;NA;NA;-11.42264
Temperate;Plantago alpina;Plantaginaceae;Fellfield;1.27;100;25.925;0;73.52;0.555;176.0300748;334.375;58.51575855;82.97421
Temperate;Plantago alpina;Plantaginaceae;Snowbed;1.27;98.915;1.085;65.895;29.235;2.695;234.5458333;225.3333333;58.51575855;82.97421
Temperate;Ranunculus carinthiacus;Ranunculaceae;Fellfield;0.17;26.67;0;0;26.67;0;NA;NA;NA;24.66875
Temperate;Ranunculus carinthiacus;Ranunculaceae;Snowbed;0.17;0;0;0;0;0;NA;NA;NA;24.66875
Temperate;Salix breviserrata;Salicaceae;Fellfield;0.03;0;0;0;0;0;NA;NA;NA;0
Temperate;Salix breviserrata;Salicaceae;Snowbed;0.03;0;0;0;0;0;NA;NA;NA;0
Temperate;Saxifraga conifera;Saxifragaceae;Fellfield;0.81;91.91;66.82;0;0.82;24.275;62.53753434;338.5208333;265.0624657;195.1693
Temperate;Saxifraga conifera;Saxifragaceae;Snowbed;0.81;69.96;6.43;0;0;63.53;327.6;1284.666667;265.0624657;195.1693
Temperate;Saxifraga paniculata;Saxifragaceae;Fellfield;0.03;96.91;0;0;96.91;0;222.0175886;499.875;61.5022527;84.82935
Temperate;Saxifraga paniculata;Saxifragaceae;Snowbed;0.03;59.55;0;0;20.22;39.33;283.5198413;551.5;61.5022527;84.82935
Temperate;Scilla verna;Asparagaceae;Fellfield;0.04;10.42;0;0;0;10.42;NA;NA;NA;-1.361059
Temperate;Scilla verna;Asparagaceae;Snowbed;0.04;28.57;0;0;0;28.57;NA;NA;NA;-1.361059
Temperate;Sedum album cf;Crassulaceae;Fellfield;0.03;0;0;0;0;0;NA;NA;NA;0
Temperate;Sedum album cf;Crassulaceae;Snowbed;0.03;0;0;0;0;0;NA;NA;NA;0
Temperate;Sesleria caerula;Poaceae;Fellfield;NA;100;93.33;0;5.33;1.33;25.07852564;267.75;170.3558494;146.8434
Temperate;Sesleria caerula;Poaceae;Snowbed;NA;97.1;36.23;15.94;1.45;43.48;195.434375;304.625;170.3558494;146.8434
Temperate;Silene acaulis;Caryophyllaceae;Fellfield;1.45;48.28;6.065;0;6.605;35.61;303.9166667;1601.5;NA;17.53493
Temperate;Silene acaulis;Caryophyllaceae;Snowbed;1.45;33.76;2.89;2.245;0.56;28.065;288;692.5;NA;17.53493
Temperate;Silene ciliata;Caryophyllaceae;Fellfield;0.45;92.36;10;0;82.36;0;210.8711806;404.3125;44.92083333;56.58296
Temperate;Silene ciliata;Caryophyllaceae;Snowbed;0.45;85.695;1.83;21.315;56;6.55;255.7920139;296.9375;44.92083333;56.58296
Temperate;Thymus praecox;Lamiaceae;Fellfield;2.65;98.705;52.255;0.56;40.915;4.97;121.7534185;344.6875;153.201269;151.8266
Temperate;Thymus praecox;Lamiaceae;Snowbed;2.65;98.615;0.725;0;37.77;60.125;274.9546875;459.1875;153.201269;151.8266
