Site,week,T,X,N
Hoyo Sin Tierra,1,-0.720042532,-0.372987402,-1.024571711
Hoyo Sin Tierra,2,-1.618367072,-1.064156701,-2.11160074
Hoyo Sin Tierra,3,-1.405997523,-0.901338189,-1.854479255
Hoyo Sin Tierra,4,-1.185381433,-0.521294361,-1.685658059
Hoyo Sin Tierra,5,-0.725454626,-0.28146336,-1.122670078
Hoyo Sin Tierra,6,-1.100463371,-0.710502184,-1.409680015
Hoyo Sin Tierra,7,-1.108719272,-0.697280782,-1.470418795
Hoyo Sin Tierra,8,-0.717392005,-0.347560665,-1.030868449
Hoyo Sin Tierra,9,-0.436450138,-0.100501048,-0.677817199
Hoyo Sin Tierra,10,-0.231408501,0.075799861,-0.464274718
Hoyo Sin Tierra,11,0.732308795,1.639164891,0.148598591
Hoyo Sin Tierra,12,1.092866682,2.495291846,0.236422381
Hoyo Sin Tierra,13,1.712929118,3.152420379,0.749039475
Hoyo Sin Tierra,14,2.448562841,4.521459338,1.089346516
Hoyo Sin Tierra,15,3.844356236,6.411371082,2.007518567
Hoyo Sin Tierra,16,4.106326836,5.983216028,2.673086415
Hoyo Sin Tierra,17,4.398157052,6.612080469,2.795113789
Hoyo Sin Tierra,18,5.411405037,8.236878101,3.320384938
Hoyo Sin Tierra,19,7.898446701,11.02920227,5.52411399
Hoyo Sin Tierra,20,9.823605334,13.74795163,6.817143938
Hoyo Sin Tierra,21,10.71526949,14.5242632,7.692106493
Hoyo Sin Tierra,22,11.52212958,15.22784088,8.583178014
Hoyo Sin Tierra,23,12.57098609,16.22783425,9.638547795
Hoyo Sin Tierra,24,12.05679741,15.48552773,9.344271193
Hoyo Sin Tierra,25,13.79951832,17.69486086,10.76491067
Hoyo Sin Tierra,26,15.31531447,19.32236792,12.03179606
Hoyo Sin Tierra,27,16.46577862,20.35949228,13.33047627
Hoyo Sin Tierra,28,16.79874206,20.95511435,13.39935581
Hoyo Sin Tierra,29,17.84689835,21.71188928,14.62764608
Hoyo Sin Tierra,30,18.16634156,22.2529,14.91925715
Hoyo Sin Tierra,31,18.12486254,22.05620475,15.01820119
Hoyo Sin Tierra,32,17.91759209,22.02807613,14.66441843
Hoyo Sin Tierra,33,17.85700253,21.68755117,14.78760474
Hoyo Sin Tierra,34,17.90720014,21.58539648,14.91691834
Hoyo Sin Tierra,35,16.51505671,20.07445236,13.76327678
Hoyo Sin Tierra,36,15.55674601,18.92057619,12.94047726
Hoyo Sin Tierra,37,14.00200045,17.26143632,11.46105058
Hoyo Sin Tierra,38,12.02817179,14.77465166,9.902457985
Hoyo Sin Tierra,39,11.51795178,14.428602,9.331039055
Hoyo Sin Tierra,40,10.63854467,13.47492286,8.591958928
Hoyo Sin Tierra,41,9.083794045,11.34649187,7.40263318
Hoyo Sin Tierra,42,6.998170564,8.806579022,5.60281539
Hoyo Sin Tierra,43,5.97873576,7.707729558,4.779039125
Hoyo Sin Tierra,44,4.84442783,6.213963844,3.844449461
Hoyo Sin Tierra,45,3.487336622,4.627305933,2.714793629
Hoyo Sin Tierra,46,2.779688393,3.948816574,2.035037044
Hoyo Sin Tierra,47,2.011163344,2.751175716,1.534843835
Hoyo Sin Tierra,48,0.975248153,1.489754813,0.61968381
Hoyo Sin Tierra,49,0.21059428,0.700216457,-0.17219816
Hoyo Sin Tierra,50,-0.356526497,0.092480309,-0.784227343
Hoyo Sin Tierra,51,-0.070238934,0.256689027,-0.391257674
Hoyo Sin Tierra,52,-0.426314081,-0.026594612,-0.796846408
Hoyo Sin Tierra,53,-0.37942969,-0.071726898,-0.654643364
Los Boches,1,-0.115191822,-0.078865067,-0.158581338
Los Boches,2,-0.321090563,-0.279922921,-0.352542072
Los Boches,3,-0.142112278,-0.117827958,-0.164249354
Los Boches,4,-0.250497576,-0.221279665,-0.275369287
Los Boches,5,-0.175304282,-0.153119334,-0.194106268
Los Boches,6,-0.167962974,-0.15059594,-0.185200733
Los Boches,7,-0.189602477,-0.176406107,-0.203237304
Los Boches,8,-0.175909749,-0.164336238,-0.187396131
Los Boches,9,-0.141735292,-0.132445421,-0.15153801
Los Boches,10,-0.115127164,-0.105625878,-0.125024484
Los Boches,11,-0.068047465,-0.060291091,-0.077537282
Los Boches,12,-0.055488017,-0.04916119,-0.061782079
Los Boches,13,-0.053990117,-0.047179651,-0.060754756
Los Boches,14,-0.047396503,-0.041565043,-0.053480209
Los Boches,15,-0.050623645,-0.043802348,-0.058093444
Los Boches,16,-0.055236019,-0.049368007,-0.061769335
Los Boches,17,-0.060442591,-0.054249782,-0.067126668
Los Boches,18,-0.065694923,-0.058799164,-0.07353874
Los Boches,19,-0.06689564,-0.038366156,-0.080939513
Los Boches,20,0.507637967,0.877764641,0.232129234
Los Boches,21,2.313586669,3.498865527,1.275511292
Los Boches,22,4.150755607,6.475597167,2.304756829
Los Boches,23,5.6260681,8.230685873,3.539951575
Los Boches,24,5.813420568,8.108354149,3.979199094
Los Boches,25,9.301437793,13.27654616,6.011888521
Los Boches,26,11.3465249,15.25421801,7.952814401
Los Boches,27,12.65672609,16.67894846,9.251958244
Los Boches,28,14.18771661,19.13613227,10.02499939
Los Boches,29,15.1094152,19.43839824,11.39802392
Los Boches,30,15.39540409,19.8251024,11.63468843
Los Boches,31,15.14411578,19.40223336,11.59619801
Los Boches,32,14.80170947,19.19359176,11.22940367
Los Boches,33,14.88123771,19.03178335,11.47797823
Los Boches,34,14.83062654,18.62956789,11.70465892
Los Boches,35,13.1622648,16.81947852,10.18243035
Los Boches,36,11.98445361,15.43640498,9.265031549
Los Boches,37,10.49505499,13.90590275,7.772847621
Los Boches,38,8.599643363,11.26325536,6.434191596
Los Boches,39,7.999591048,10.73985703,5.844145563
Los Boches,40,7.00773467,9.727892198,4.980345194
Los Boches,41,5.862336148,8.046561162,4.173456139
Los Boches,42,4.095318477,5.632802281,2.829960348
Los Boches,43,3.710226765,5.322158685,2.587376183
Los Boches,44,2.705544045,3.768970981,1.878783854
Los Boches,45,1.484507006,1.96690636,1.124074968
Los Boches,46,0.719331389,1.047414228,0.500982452
Los Boches,47,0.44176905,0.703293952,0.238567129
Los Boches,48,0.083504416,0.172908044,-0.001372573
Los Boches,49,-0.091340695,-0.004754976,-0.176899828
Los Boches,50,-0.08417813,-0.054432741,-0.117770871
Los Boches,51,-0.064985819,-0.044332416,-0.089416348
Los Boches,52,-0.194142214,-0.136459577,-0.257165381
Los Boches,53,-0.143202527,-0.124297505,-0.176402541
