species;microhabitat_buried;retrieval_season;x;xend;y;yend
Androsace villosa;Fellfield;Spring;;;;
Armeria cantabrica;Fellfield;Spring;;;;
Armeria duriaei;Fellfield;Spring;;;;
Carex sempervirens;Fellfield;Spring;0.8;1.2;38;38
Dianthus langeanus;Fellfield;Spring;0.8;1.2;56;56
Festuca glacialis;Fellfield;Spring;0.8;1.2;35;35
Gypsophila repens;Fellfield;Spring;;;;
Jasione cavanillesii;Fellfield;Spring;0.8;1.2;20;20
Luzula caespitosa;Fellfield;Spring;;;;
Phyteuma hemisphaericum;Fellfield;Spring;;;;
Plantago holosteum;Fellfield;Spring;0.8;1.2;35;35
Silene ciliata;Fellfield;Spring;0.8;1.2;45;45
Androsace villosa;Fellfield;2nd Autumn;;;;
Armeria cantabrica;Fellfield;2nd Autumn;;;;
Armeria duriaei;Fellfield;2nd Autumn;;;;
Carex sempervirens;Fellfield;2nd Autumn;;;;
Dianthus langeanus;Fellfield;2nd Autumn;;;;
Festuca glacialis;Fellfield;2nd Autumn;1.8;2.2;46;46
Gypsophila repens;Fellfield;2nd Autumn;;;;
Jasione cavanillesii;Fellfield;2nd Autumn;;;;
Luzula caespitosa;Fellfield;2nd Autumn;;;;
Phyteuma hemisphaericum;Fellfield;2nd Autumn;1.8;2.2;20;20
Plantago holosteum;Fellfield;2nd Autumn;;;;
Silene ciliata;Fellfield;2nd Autumn;1.8;2.2;25;25
